book,chapter,verse,text,preprocessed_text,label
romans,1.0,26.0,δια τουτο παρεδωκεν αυτους ο θεος εις παθη ατιμιας αι τε γαρ θηλειαι αυτων μετηλλαξαν την φυσικην χρησιν εις την παρα φυσιν,δια τουτο παρεδωκεν αυτους ο θεος εις παθη ατιμιας αι τε γαρ θηλειαι αυτων μετηλλαξαν την φυσικην χρησιν εις την παρα φυσιν,1
romans,1.0,27.0,ομοιως τε και οι αφεντες την φυσικην χρησιν της θηλειας εξεκαυθησαν εν τη ορεξει αυτων εις αλληλους αρσενες εν αρσεσιν την ασχημοσυνην κατεργαζομενοι και την αντιμισθιαν ην εδει της πλανης αυτων εν εαυτοις απολαμβανοντες,ομοιως τε και οι αφεντες την φυσικην χρησιν της θηλειας εξεκαυθησαν εν τη ορεξει αυτων εις αλληλους αρσενες εν αρσεσιν την ασχημοσυνην κατεργαζομενοι και την αντιμισθιαν ην εδει της πλανης αυτων εν εαυτοις απολαμβανοντες,1
romans,1.0,28.0,και καθως ουκ εδοκιμασαν τον θεον εχειν εν επιγνωσει παρεδωκεν αυτους ο θεος εις αδοκιμον νουν ποιειν τα μη καθηκοντα,και καθως ουκ εδοκιμασαν τον θεον εχειν εν επιγνωσει παρεδωκεν αυτους ο θεος εις αδοκιμον νουν ποιειν τα μη καθηκοντα,1
romans,1.0,29.0,πεπληρωμενους παση αδικια πορνεια πονηρια πλεονεξια κακια μεστους φθονου φονου εριδος δολου κακοηθειας ψιθυριστας,πεπληρωμενους παση αδικια πορνεια πονηρια πλεονεξια κακια μεστους φθονου φονου εριδος δολου κακοηθειας ψιθυριστας,1
romans,1.0,30.0,καταλαλους θεοστυγεις υβριστας υπερηφανους αλαζονας εφευρετας κακων γονευσιν απειθεις,καταλαλους θεοστυγεις υβριστας υπερηφανους αλαζονας εφευρετας κακων γονευσιν απειθεις,1
romans,1.0,31.0,ασυνετους ασυνθετους αστοργους ασπονδους ανελεημονας,ασυνετους ασυνθετους αστοργους ασπονδους ανελεημονας,1
romans,1.0,32.0,οιτινες το δικαιωμα του θεου επιγνοντες οτι οι τα τοιαυτα πρασσοντες αξιοι θανατου εισιν ου μονον αυτα ποιουσιν αλλα και συνευδοκουσιν τοις πρασσουσιν,οιτινες το δικαιωμα του θεου επιγνοντες οτι οι τα τοιαυτα πρασσοντες αξιοι θανατου εισιν ου μονον αυτα ποιουσιν αλλα και συνευδοκουσιν τοις πρασσουσιν,1
romans,2.0,1.0,διο αναπολογητος ει ω ανθρωπε πας ο κρινων εν ω γαρ κρινεις τον ετερον σεαυτον κατακρινεις τα γαρ αυτα πρασσεις ο κρινων,διο αναπολογητος ει ω ανθρωπε πας ο κρινων εν ω γαρ κρινεις τον ετερον σεαυτον κατακρινεις τα γαρ αυτα πρασσεις ο κρινων,1
romans,2.0,2.0,οιδαμεν δε οτι το κριμα του θεου εστιν κατα αληθειαν επι τους τα τοιαυτα πρασσοντας,οιδαμεν δε οτι το κριμα του θεου εστιν κατα αληθειαν επι τους τα τοιαυτα πρασσοντας,1
romans,2.0,3.0,λογιζη δε τουτο ω ανθρωπε ο κρινων τους τα τοιαυτα πρασσοντας και ποιων αυτα οτι συ εκφευξη το κριμα του θεου,λογιζη δε τουτο ω ανθρωπε ο κρινων τους τα τοιαυτα πρασσοντας και ποιων αυτα οτι συ εκφευξη το κριμα του θεου,1
romans,2.0,4.0,η του πλουτου της χρηστοτητος αυτου και της ανοχης και της μακροθυμιας καταφρονεις αγνοων οτι το χρηστον του θεου εις μετανοιαν σε αγει,η του πλουτου της χρηστοτητος αυτου και της ανοχης και της μακροθυμιας καταφρονεις αγνοων οτι το χρηστον του θεου εις μετανοιαν σε αγει,1
romans,2.0,5.0,κατα δε την σκληροτητα σου και αμετανοητον καρδιαν θησαυριζεις σεαυτω οργην εν ημερα οργης και αποκαλυψεως δικαιοκρισιας του θεου,κατα δε την σκληροτητα σου και αμετανοητον καρδιαν θησαυριζεις σεαυτω οργην εν ημερα οργης και αποκαλυψεως δικαιοκρισιας του θεου,1
romans,2.0,6.0,ος αποδωσει εκαστω κατα τα εργα αυτου,ος αποδωσει εκαστω κατα τα εργα αυτου,1
romans,2.0,7.0,τοις μεν καθ υπομονην εργου αγαθου δοξαν και τιμην και αφθαρσιαν ζητουσιν ζωην αιωνιον,τοις μεν καθ υπομονην εργου αγαθου δοξαν και τιμην και αφθαρσιαν ζητουσιν ζωην αιωνιον,1
romans,2.0,8.0,τοις δε εξ εριθειας και απειθουσιν μεν τη αληθεια πειθομενοις δε τη αδικια θυμος και οργη,τοις δε εξ εριθειας και απειθουσιν μεν τη αληθεια πειθομενοις δε τη αδικια θυμος και οργη,1
romans,2.0,9.0,θλιψις και στενοχωρια επι πασαν ψυχην ανθρωπου του κατεργαζομενου το κακον ιουδαιου τε πρωτον και ελληνος,θλιψις και στενοχωρια επι πασαν ψυχην ανθρωπου του κατεργαζομενου το κακον ιουδαιου τε πρωτον και ελληνος,1
romans,2.0,10.0,δοξα δε και τιμη και ειρηνη παντι τω εργαζομενω το αγαθον ιουδαιω τε πρωτον και ελληνι,δοξα δε και τιμη και ειρηνη παντι τω εργαζομενω το αγαθον ιουδαιω τε πρωτον και ελληνι,1
romans,2.0,11.0,ου γαρ εστιν προσωποληψια παρα τω θεω,ου γαρ εστιν προσωποληψια παρα τω θεω,1
romans,2.0,12.0,οσοι γαρ ανομως ημαρτον ανομως και απολουνται και οσοι εν νομω ημαρτον δια νομου κριθησονται,οσοι γαρ ανομως ημαρτον ανομως και απολουνται και οσοι εν νομω ημαρτον δια νομου κριθησονται,1
romans,2.0,13.0,ου γαρ οι ακροαται του νομου δικαιοι παρα τω θεω αλλ οι ποιηται του νομου δικαιωθησονται,ου γαρ οι ακροαται του νομου δικαιοι παρα τω θεω αλλ οι ποιηται του νομου δικαιωθησονται,1
romans,2.0,14.0,οταν γαρ εθνη τα μη νομον εχοντα φυσει τα του νομου ποιη ουτοι νομον μη εχοντες εαυτοις εισιν νομος,οταν γαρ εθνη τα μη νομον εχοντα φυσει τα του νομου ποιη ουτοι νομον μη εχοντες εαυτοις εισιν νομος,1
romans,2.0,15.0,οιτινες ενδεικνυνται το εργον του νομου γραπτον εν ταις καρδιαις αυτων συμμαρτυρουσης αυτων της συνειδησεως και μεταξυ αλληλων των λογισμων κατηγορουντων η και απολογουμενων,οιτινες ενδεικνυνται το εργον του νομου γραπτον εν ταις καρδιαις αυτων συμμαρτυρουσης αυτων της συνειδησεως και μεταξυ αλληλων των λογισμων κατηγορουντων η και απολογουμενων,1
romans,2.0,16.0,εν ημερα οτε κρινει ο θεος τα κρυπτα των ανθρωπων κατα το ευαγγελιον μου δια ιησου χριστου,εν ημερα οτε κρινει ο θεος τα κρυπτα των ανθρωπων κατα το ευαγγελιον μου δια ιησου χριστου,1
romans,2.0,17.0,ιδε συ ιουδαιος επονομαζη και επαναπαυη τω νομω και καυχασαι εν θεω,ιδε συ ιουδαιος επονομαζη και επαναπαυη τω νομω και καυχασαι εν θεω,1
romans,2.0,18.0,και γινωσκεις το θελημα και δοκιμαζεις τα διαφεροντα κατηχουμενος εκ του νομου,και γινωσκεις το θελημα και δοκιμαζεις τα διαφεροντα κατηχουμενος εκ του νομου,1
romans,2.0,19.0,πεποιθας τε σεαυτον οδηγον ειναι τυφλων φως των εν σκοτει,πεποιθας τε σεαυτον οδηγον ειναι τυφλων φως των εν σκοτει,1
romans,2.0,20.0,παιδευτην αφρονων διδασκαλον νηπιων εχοντα την μορφωσιν της γνωσεως και της αληθειας εν τω νομω,παιδευτην αφρονων διδασκαλον νηπιων εχοντα την μορφωσιν της γνωσεως και της αληθειας εν τω νομω,1
romans,2.0,21.0,ο ουν διδασκων ετερον σεαυτον ου διδασκεις ο κηρυσσων μη κλεπτειν κλεπτεις,ο ουν διδασκων ετερον σεαυτον ου διδασκεις ο κηρυσσων μη κλεπτειν κλεπτεις,1
romans,2.0,22.0,ο λεγων μη μοιχευειν μοιχευεις ο βδελυσσομενος τα ειδωλα ιεροσυλεις,ο λεγων μη μοιχευειν μοιχευεις ο βδελυσσομενος τα ειδωλα ιεροσυλεις,1
romans,2.0,23.0,ος εν νομω καυχασαι δια της παραβασεως του νομου τον θεον ατιμαζεις,ος εν νομω καυχασαι δια της παραβασεως του νομου τον θεον ατιμαζεις,1
romans,2.0,24.0,το γαρ ονομα του θεου δι υμας βλασφημειται εν τοις εθνεσιν καθως γεγραπται,το γαρ ονομα του θεου δι υμας βλασφημειται εν τοις εθνεσιν καθως γεγραπται,1
romans,2.0,25.0,περιτομη μεν γαρ ωφελει εαν νομον πρασσης εαν δε παραβατης νομου ης η περιτομη σου ακροβυστια γεγονεν,περιτομη μεν γαρ ωφελει εαν νομον πρασσης εαν δε παραβατης νομου ης η περιτομη σου ακροβυστια γεγονεν,1
romans,2.0,26.0,εαν ουν η ακροβυστια τα δικαιωματα του νομου φυλασση ουχι η ακροβυστια αυτου εις περιτομην λογισθησεται,εαν ουν η ακροβυστια τα δικαιωματα του νομου φυλασση ουχι η ακροβυστια αυτου εις περιτομην λογισθησεται,1
romans,2.0,27.0,και κρινει η εκ φυσεως ακροβυστια τον νομον τελουσα σε τον δια γραμματος και περιτομης παραβατην νομου,και κρινει η εκ φυσεως ακροβυστια τον νομον τελουσα σε τον δια γραμματος και περιτομης παραβατην νομου,1
romans,2.0,28.0,ου γαρ ο εν τω φανερω ιουδαιος εστιν ουδε η εν τω φανερω εν σαρκι περιτομη,ου γαρ ο εν τω φανερω ιουδαιος εστιν ουδε η εν τω φανερω εν σαρκι περιτομη,1
romans,2.0,29.0,αλλ ο εν τω κρυπτω ιουδαιος και περιτομη καρδιας εν πνευματι ου γραμματι ου ο επαινος ουκ εξ ανθρωπων αλλ εκ του θεου,αλλ ο εν τω κρυπτω ιουδαιος και περιτομη καρδιας εν πνευματι ου γραμματι ου ο επαινος ουκ εξ ανθρωπων αλλ εκ του θεου,1
romans,3.0,1.0,τι ουν το περισσον του ιουδαιου η τις η ωφελεια της περιτομης,τι ουν το περισσον του ιουδαιου η τις η ωφελεια της περιτομης,1
romans,3.0,2.0,πολυ κατα παντα τροπον πρωτον μεν γαρ οτι επιστευθησαν τα λογια του θεου,πολυ κατα παντα τροπον πρωτον μεν γαρ οτι επιστευθησαν τα λογια του θεου,1
romans,3.0,3.0,τι γαρ ει ηπιστησαν τινες μη η απιστια αυτων την πιστιν του θεου καταργησει,τι γαρ ει ηπιστησαν τινες μη η απιστια αυτων την πιστιν του θεου καταργησει,1
romans,3.0,4.0,μη γενοιτο γινεσθω δε ο θεος αληθης πας δε ανθρωπος ψευστης καθως γεγραπται οπως αν δικαιωθης εν τοις λογοις σου και νικησης εν τω κρινεσθαι σε,μη γενοιτο γινεσθω δε ο θεος αληθης πας δε ανθρωπος ψευστης καθως γεγραπται οπως αν δικαιωθης εν τοις λογοις σου και νικησης εν τω κρινεσθαι σε,1
romans,3.0,5.0,ει δε η αδικια ημων θεου δικαιοσυνην συνιστησιν τι ερουμεν μη αδικος ο θεος ο επιφερων την οργην κατα ανθρωπον λεγω,ει δε η αδικια ημων θεου δικαιοσυνην συνιστησιν τι ερουμεν μη αδικος ο θεος ο επιφερων την οργην κατα ανθρωπον λεγω,1
romans,3.0,6.0,μη γενοιτο επει πως κρινει ο θεος τον κοσμον,μη γενοιτο επει πως κρινει ο θεος τον κοσμον,1
romans,3.0,7.0,ει γαρ η αληθεια του θεου εν τω εμω ψευσματι επερισσευσεν εις την δοξαν αυτου τι ετι καγω ως αμαρτωλος κρινομαι,ει γαρ η αληθεια του θεου εν τω εμω ψευσματι επερισσευσεν εις την δοξαν αυτου τι ετι καγω ως αμαρτωλος κρινομαι,1
romans,3.0,8.0,και μη καθως βλασφημουμεθα και καθως φασιν τινες ημας λεγειν οτι ποιησωμεν τα κακα ινα ελθη τα αγαθα ων το κριμα ενδικον εστιν,και μη καθως βλασφημουμεθα και καθως φασιν τινες ημας λεγειν οτι ποιησωμεν τα κακα ινα ελθη τα αγαθα ων το κριμα ενδικον εστιν,1
romans,3.0,9.0,τι ουν προεχομεθα ου παντως προητιασαμεθα γαρ ιουδαιους τε και ελληνας παντας υφ αμαρτιαν ειναι,τι ουν προεχομεθα ου παντως προητιασαμεθα γαρ ιουδαιους τε και ελληνας παντας υφ αμαρτιαν ειναι,1
romans,3.0,10.0,καθως γεγραπται οτι ουκ εστιν δικαιος ουδε εις,καθως γεγραπται οτι ουκ εστιν δικαιος ουδε εις,1
romans,3.0,11.0,ουκ εστιν ο συνιων ουκ εστιν ο εκζητων τον θεον,ουκ εστιν ο συνιων ουκ εστιν ο εκζητων τον θεον,1
romans,3.0,12.0,παντες εξεκλιναν αμα ηχρειωθησαν ουκ εστιν ποιων χρηστοτητα ουκ εστιν εως ενος,παντες εξεκλιναν αμα ηχρειωθησαν ουκ εστιν ποιων χρηστοτητα ουκ εστιν εως ενος,1
romans,3.0,13.0,ταφος ανεωγμενος ο λαρυγξ αυτων ταις γλωσσαις αυτων εδολιουσαν ιος ασπιδων υπο τα χειλη αυτων,ταφος ανεωγμενος ο λαρυγξ αυτων ταις γλωσσαις αυτων εδολιουσαν ιος ασπιδων υπο τα χειλη αυτων,1
romans,3.0,14.0,ων το στομα αρας και πικριας γεμει,ων το στομα αρας και πικριας γεμει,1
romans,3.0,15.0,οξεις οι ποδες αυτων εκχεαι αιμα,οξεις οι ποδες αυτων εκχεαι αιμα,1
romans,3.0,16.0,συντριμμα και ταλαιπωρια εν ταις οδοις αυτων,συντριμμα και ταλαιπωρια εν ταις οδοις αυτων,1
romans,3.0,17.0,και οδον ειρηνης ουκ εγνωσαν,και οδον ειρηνης ουκ εγνωσαν,1
romans,3.0,18.0,ουκ εστιν φοβος θεου απεναντι των οφθαλμων αυτων,ουκ εστιν φοβος θεου απεναντι των οφθαλμων αυτων,1
romans,3.0,19.0,οιδαμεν δε οτι οσα ο νομος λεγει τοις εν τω νομω λαλει ινα παν στομα φραγη και υποδικος γενηται πας ο κοσμος τω θεω,οιδαμεν δε οτι οσα ο νομος λεγει τοις εν τω νομω λαλει ινα παν στομα φραγη και υποδικος γενηται πας ο κοσμος τω θεω,1
romans,3.0,20.0,διοτι εξ εργων νομου ου δικαιωθησεται πασα σαρξ ενωπιον αυτου δια γαρ νομου επιγνωσις αμαρτιας,διοτι εξ εργων νομου ου δικαιωθησεται πασα σαρξ ενωπιον αυτου δια γαρ νομου επιγνωσις αμαρτιας,1
romans,3.0,21.0,νυνι δε χωρις νομου δικαιοσυνη θεου πεφανερωται μαρτυρουμενη υπο του νομου και των προφητων,νυνι δε χωρις νομου δικαιοσυνη θεου πεφανερωται μαρτυρουμενη υπο του νομου και των προφητων,1
romans,3.0,22.0,δικαιοσυνη δε θεου δια πιστεως ιησου χριστου εις παντας και επι παντας τους πιστευοντας ου γαρ εστιν διαστολη,δικαιοσυνη δε θεου δια πιστεως ιησου χριστου εις παντας και επι παντας τους πιστευοντας ου γαρ εστιν διαστολη,1
romans,3.0,23.0,παντες γαρ ημαρτον και υστερουνται της δοξης του θεου,παντες γαρ ημαρτον και υστερουνται της δοξης του θεου,1
romans,3.0,24.0,δικαιουμενοι δωρεαν τη αυτου χαριτι δια της απολυτρωσεως της εν χριστω ιησου,δικαιουμενοι δωρεαν τη αυτου χαριτι δια της απολυτρωσεως της εν χριστω ιησου,1
romans,3.0,25.0,ον προεθετο ο θεος ιλαστηριον δια της πιστεως εν τω αυτου αιματι εις ενδειξιν της δικαιοσυνης αυτου δια την παρεσιν των προγεγονοτων αμαρτηματων,ον προεθετο ο θεος ιλαστηριον δια της πιστεως εν τω αυτου αιματι εις ενδειξιν της δικαιοσυνης αυτου δια την παρεσιν των προγεγονοτων αμαρτηματων,1
romans,3.0,26.0,εν τη ανοχη του θεου προς ενδειξιν της δικαιοσυνης αυτου εν τω νυν καιρω εις το ειναι αυτον δικαιον και δικαιουντα τον εκ πιστεως ιησου,εν τη ανοχη του θεου προς ενδειξιν της δικαιοσυνης αυτου εν τω νυν καιρω εις το ειναι αυτον δικαιον και δικαιουντα τον εκ πιστεως ιησου,1
romans,3.0,27.0,που ουν η καυχησις εξεκλεισθη δια ποιου νομου των εργων ουχι αλλα δια νομου πιστεως,που ουν η καυχησις εξεκλεισθη δια ποιου νομου των εργων ουχι αλλα δια νομου πιστεως,1
romans,3.0,28.0,λογιζομεθα ουν πιστει δικαιουσθαι ανθρωπον χωρις εργων νομου,λογιζομεθα ουν πιστει δικαιουσθαι ανθρωπον χωρις εργων νομου,1
romans,3.0,29.0,η ιουδαιων ο θεος μονον ουχι δε και εθνων ναι και εθνων,η ιουδαιων ο θεος μονον ουχι δε και εθνων ναι και εθνων,1
romans,3.0,30.0,επειπερ εις ο θεος ος δικαιωσει περιτομην εκ πιστεως και ακροβυστιαν δια της πιστεως,επειπερ εις ο θεος ος δικαιωσει περιτομην εκ πιστεως και ακροβυστιαν δια της πιστεως,1
romans,3.0,31.0,νομον ουν καταργουμεν δια της πιστεως μη γενοιτο αλλα νομον ιστωμεν,νομον ουν καταργουμεν δια της πιστεως μη γενοιτο αλλα νομον ιστωμεν,1
romans,4.0,1.0,τι ουν ερουμεν αβρααμ τον πατερα ημων ευρηκεναι κατα σαρκα,τι ουν ερουμεν αβρααμ τον πατερα ημων ευρηκεναι κατα σαρκα,1
romans,4.0,2.0,ει γαρ αβρααμ εξ εργων εδικαιωθη εχει καυχημα αλλ ου προς τον θεον,ει γαρ αβρααμ εξ εργων εδικαιωθη εχει καυχημα αλλ ου προς τον θεον,1
romans,4.0,3.0,τι γαρ η γραφη λεγει επιστευσεν δε αβρααμ τω θεω και ελογισθη αυτω εις δικαιοσυνην,τι γαρ η γραφη λεγει επιστευσεν δε αβρααμ τω θεω και ελογισθη αυτω εις δικαιοσυνην,1
romans,4.0,4.0,τω δε εργαζομενω ο μισθος ου λογιζεται κατα χαριν αλλα κατα το οφειλημα,τω δε εργαζομενω ο μισθος ου λογιζεται κατα χαριν αλλα κατα το οφειλημα,1
romans,4.0,5.0,τω δε μη εργαζομενω πιστευοντι δε επι τον δικαιουντα τον ασεβη λογιζεται η πιστις αυτου εις δικαιοσυνην,τω δε μη εργαζομενω πιστευοντι δε επι τον δικαιουντα τον ασεβη λογιζεται η πιστις αυτου εις δικαιοσυνην,1
romans,4.0,6.0,καθαπερ και δαβιδ λεγει τον μακαρισμον του ανθρωπου ω ο θεος λογιζεται δικαιοσυνην χωρις εργων,καθαπερ και δαβιδ λεγει τον μακαρισμον του ανθρωπου ω ο θεος λογιζεται δικαιοσυνην χωρις εργων,1
romans,4.0,7.0,μακαριοι ων αφεθησαν αι ανομιαι και ων επεκαλυφθησαν αι αμαρτιαι,μακαριοι ων αφεθησαν αι ανομιαι και ων επεκαλυφθησαν αι αμαρτιαι,1
romans,4.0,8.0,μακαριος ανηρ ω ου μη λογισηται κυριος αμαρτιαν,μακαριος ανηρ ω ου μη λογισηται κυριος αμαρτιαν,1
romans,4.0,9.0,ο μακαρισμος ουν ουτος επι την περιτομην η και επι την ακροβυστιαν λεγομεν γαρ οτι ελογισθη τω αβρααμ η πιστις εις δικαιοσυνην,ο μακαρισμος ουν ουτος επι την περιτομην η και επι την ακροβυστιαν λεγομεν γαρ οτι ελογισθη τω αβρααμ η πιστις εις δικαιοσυνην,1
romans,4.0,10.0,πως ουν ελογισθη εν περιτομη οντι η εν ακροβυστια ουκ εν περιτομη αλλ εν ακροβυστια,πως ουν ελογισθη εν περιτομη οντι η εν ακροβυστια ουκ εν περιτομη αλλ εν ακροβυστια,1
romans,4.0,11.0,και σημειον ελαβεν περιτομης σφραγιδα της δικαιοσυνης της πιστεως της εν τη ακροβυστια εις το ειναι αυτον πατερα παντων των πιστευοντων δι ακροβυστιας εις το λογισθηναι και αυτοις την δικαιοσυνην,και σημειον ελαβεν περιτομης σφραγιδα της δικαιοσυνης της πιστεως της εν τη ακροβυστια εις το ειναι αυτον πατερα παντων των πιστευοντων δι ακροβυστιας εις το λογισθηναι και αυτοις την δικαιοσυνην,1
romans,4.0,12.0,και πατερα περιτομης τοις ουκ εκ περιτομης μονον αλλα και τοις στοιχουσιν τοις ιχνεσιν της εν τη ακροβυστια πιστεως του πατρος ημων αβρααμ,και πατερα περιτομης τοις ουκ εκ περιτομης μονον αλλα και τοις στοιχουσιν τοις ιχνεσιν της εν τη ακροβυστια πιστεως του πατρος ημων αβρααμ,1
